car_ID,CarName,wheelbase,carlength,carwidth,carheight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,price,symboling_-1,symboling_0,symboling_1,symboling_2,symboling_3,fueltype_gas,aspiration_turbo,doornumber_two,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_fwd,drivewheel_rwd,enginelocation_rear,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi
1,alfa-romero giulia,0.0583090379008748,0.4134328358208958,0.3166666666666664,0.0833333333333334,0.260377358490566,0.6642857142857144,0.2904761904761905,0.125,0.2624999999999999,0.346938775510204,0.2222222222222221,0.2079588898267216,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2,alfa-romero stelvio,0.0583090379008748,0.4134328358208958,0.3166666666666664,0.0833333333333334,0.260377358490566,0.6642857142857144,0.2904761904761905,0.125,0.2624999999999999,0.346938775510204,0.2222222222222221,0.2825579663373219,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
3,alfa-romero Quadrifoglio,0.230320699708455,0.4492537313432834,0.4333333333333335,0.3833333333333333,0.3433962264150943,0.1,0.6666666666666667,0.125,0.4416666666666666,0.346938775510204,0.1666666666666666,0.2825579663373219,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4,audi 100 ls,0.3848396501457727,0.5298507462686568,0.4916666666666671,0.5416666666666665,0.1811320754716981,0.4642857142857142,0.6333333333333333,0.1875,0.2249999999999999,0.5510204081632655,0.3055555555555555,0.2192542574847326,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
5,audi 100ls,0.3731778425655978,0.5298507462686568,0.5083333333333337,0.5416666666666665,0.2830188679245283,0.4642857142857142,0.6333333333333333,0.0625,0.2791666666666667,0.5510204081632655,0.1388888888888889,0.3061417010078943,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
6,audi fox,0.3848396501457727,0.5402985074626869,0.5,0.4416666666666669,0.2830188679245283,0.4642857142857142,0.6333333333333333,0.09375,0.2583333333333333,0.5510204081632655,0.1666666666666666,0.2515267365076212,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
7,audi 100ls,0.5597667638483963,0.770149253731343,0.9250000000000008,0.6583333333333337,0.2830188679245283,0.4642857142857142,0.6333333333333333,0.09375,0.2583333333333333,0.5510204081632655,0.1666666666666666,0.3125961968124721,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
8,audi 5000,0.5597667638483963,0.770149253731343,0.9250000000000008,0.6583333333333337,0.2830188679245283,0.4642857142857142,0.6333333333333333,0.09375,0.2583333333333333,0.5510204081632655,0.1666666666666666,0.3426344272876223,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
9,audi 4000,0.5597667638483963,0.770149253731343,0.9250000000000008,0.6750000000000003,0.2641509433962264,0.4214285714285715,0.6333333333333333,0.08125,0.3833333333333333,0.5510204081632655,0.1111111111111111,0.4656422223325555,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
10,audi 5000s (diesel),0.3760932944606416,0.553731343283582,0.6333333333333337,0.3500000000000001,0.2641509433962264,0.4214285714285715,0.6333333333333333,0.0,0.4666666666666666,0.5510204081632655,0.0833333333333333,0.3162992651804777,False,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
